CustomerID,Gender,Age,Tenure,ContractType,MonthlyCharges,InternetService,SupportCalls,TotalCharges,Churn
1,Male,41,25,Month-to-Month,68.55,Fiber optic,3,1729.08,No
2,Female,26,59,Two Year,54.84,Fiber optic,0,3224.04,No
3,Male,52,17,Month-to-Month,79.06,Fiber optic,1,1388.55,No
4,Male,68,55,Two Year,60.23,No,3,3284.43,No
5,Male,37,30,Month-to-Month,55.96,DSL,0,1730.67,No
6,Female,54,58,Month-to-Month,12.99,Fiber optic,0,725.69,No
7,Male,59,1,One Year,113.98,Fiber optic,0,97.47,Yes
8,Male,34,38,Month-to-Month,58.5,Fiber optic,2,2320.41,No
9,Male,64,60,Month-to-Month,114.25,Fiber optic,2,6789.1,No
10,Female,48,62,One Year,67.11,No,3,4165.51,No
11,Male,25,17,Month-to-Month,89.34,DSL,3,1536.18,No
12,Male,32,16,One Year,72.23,Fiber optic,1,1124.87,No
13,Male,48,38,Two Year,82.44,Fiber optic,1,3156.17,No
14,Male,47,70,Month-to-Month,39.73,Fiber optic,1,2817.92,No
15,Female,63,53,Month-to-Month,105.47,Fiber optic,2,5603.88,No
16,Male,37,34,Month-to-Month,58.99,DSL,0,2015.42,No
17,Female,56,10,Two Year,97.77,DSL,2,1003.86,Yes
18,Female,29,60,One Year,26.18,DSL,3,1533.18,No
19,Female,66,43,Two Year,47.36,Fiber optic,1,2004.93,No
20,Male,34,67,Month-to-Month,81.15,Fiber optic,7,5460.18,Yes
21,Female,59,24,One Year,65.09,DSL,2,1543.72,No
22,Male,47,47,Month-to-Month,83.71,No,2,3931.85,No
23,Female,46,31,Month-to-Month,76.23,DSL,5,2236.94,No
24,Female,36,3,Two Year,124.84,Fiber optic,1,408.07,Yes
25,Female,63,37,Month-to-Month,86.21,DSL,2,3256.03,No
26,Female,28,62,Two Year,57.02,Fiber optic,1,3565.85,No
27,Female,51,46,Month-to-Month,58.2,Fiber optic,0,2715.49,No
28,Female,67,0,One Year,106.12,DSL,1,46.27,Yes
29,Female,24,2,Month-to-Month,24.15,Fiber optic,1,39.07,No
30,Female,61,61,Month-to-Month,86.78,DSL,2,5249.05,No
31,Male,51,63,Month-to-Month,36.53,DSL,3,2327.43,No
